ID,Name,Position,OverallRating,Version,Price,League,Nationality,Club,Futwiz
7576,Dani Martin,GK,68,SILVER,200,ESP 2,Spain,Real Madrid,https://www.futwiz.com/en/fc24/player/dani-martin/7576
20618,Chase Gasper,LB,64,BRONZE,200,MLS,United States,LA Galaxy,https://www.futwiz.com/en/fc24/player/chase-gasper/20618
20628,Christopher McVey,CB,64,BRONZE,200,MLS,Sweden,Minnesota United,https://www.futwiz.com/en/fc24/player/christopher-mcvey/20628
20616,Lucas Lissens,CB,64,BRONZE,200,DEN 1,Belgium,Club Brugge,https://www.futwiz.com/en/fc24/player/lucas-lissens/20616
20647,Peter Therkildsen,RB,64,BRONZE,200,SWE 1,Denmark,Malmo FF,https://www.futwiz.com/en/fc24/player/peter-therkildsen/20647
3048,Maria Diaz,RM,73,SILVER,200,D1 Arkema,Spain,Lyon,https://www.futwiz.com/en/fc24/player/maria-diaz/3048
20665,Rai Marchan,CDM,64,BRONZE,200,ESP 2,Spain,Real Betis,https://www.futwiz.com/en/fc24/player/rai-marchan/20665
20630,Gabriel Lunetta,LM,64,BRONZE,200,ITA 2,Italy,Spezia,https://www.futwiz.com/en/fc24/player/gabriel-lunetta/20630
4897,Nelson Palacio,CM,71,SILVER,200,MLS,Colombia,Inter Miami,https://www.futwiz.com/en/fc24/player/nelson-palacio/4897
20623,Jonathan Leko,ST,64,BRONZE,200,ENG 3,England,Birmingham City,https://www.futwiz.com/en/fc24/player/jonathan-leko/20623
20614,Tom Nichols,ST,64,BRONZE,200,ENG 4,England,Portsmouth,https://www.futwiz.com/en/fc24/player/tom-nichols/20614